orgnr,company_id,company_name,company_type,homepage,email,phone,address,segment_names,nace_codes,foundation_year,employees_latest,accounts_last_year,created_at,updated_at
5562069087,5562069087,Örebro Flyttningsbyrå AB,AB,,,,"{""addressLine"": ""Transportgatan 5"", ""postPlace"": ""Örebro"", ""postCode"": null, ""city"": ""Örebro"", ""county"": null, ""country"": ""Sweden""}","[""Flyttfirmor"",""Transportförmedling"",""Åkerier""]","[""49410 Vägtransport, godstrafik"",""49420 Flyttjänster""]",1980,31,,2025-11-07T09:37:21.317658,2025-11-07T09:37:21.317659
5563349660,5563349660,Örebro Express Aktiebolag,AB,,,,"{""addressLine"": ""Bettorpsgatan 14 b"", ""postPlace"": ""Örebro"", ""postCode"": null, ""city"": ""Örebro"", ""county"": null, ""country"": ""Sweden""}","[""Transportförmedling"",""Åkerier""]","[""49410 Vägtransport, godstrafik""]",1988,29,,2025-11-07T09:37:21.317660,2025-11-07T09:37:21.317661
5592441181,5592441181,Örebro Entreprenad AB,AB,,,,"{""addressLine"": ""Storgatan 23"", ""postPlace"": ""Örebro"", ""postCode"": null, ""city"": ""Örebro"", ""county"": null, ""country"": ""Sweden""}","[""Byggmästare""]","[""41200 Byggande av bostadshus och andra byggnader""]",2020,,,2025-11-07T09:37:21.317662,2025-11-07T09:37:21.317662
5569366817,5569366817,Ölands Kyckling AB,AB,,,,"{""addressLine"": ""Kobbvägen 14"", ""postPlace"": ""Mörbylånga"", ""postCode"": null, ""city"": ""Mörbylånga"", ""county"": null, ""country"": ""Sweden""}","[""Jordbruk"",""Jordbruk - boskap och djurhållning""]","[""01472 Uppfödning av fjäderfä, ej äggproduktion""]",2013,8,,2025-11-07T09:37:21.317665,2025-11-07T09:37:21.317666
5592271877,5592271877,Ödeshög Mekaniska AB,AB,,,,"{""addressLine"": ""INDUSTRIGATAN 12"", ""postPlace"": ""Ödeshög"", ""postCode"": null, ""city"": ""Ödeshög"", ""county"": null, ""country"": ""Sweden""}","[""Metaller, legeringar"",""Metallurgisk industri""]","[""25620 Metallegoarbeten""]",2019,53,,2025-11-07T09:37:21.317672,2025-11-07T09:37:21.317672
5567517726,5567517726,Öckeröborgen AB,AB,,,,"{""addressLine"": ""Lammholmsvägen 2"", ""postPlace"": ""Öckerö"", ""postCode"": null, ""city"": ""Öckerö"", ""county"": null, ""country"": ""Sweden""}","[""Datakonsulter"",""Konsulter""]","[""62020 Datakonsultverksamhet""]",2008,32,,2025-11-07T09:37:21.317673,2025-11-07T09:37:21.317674
5563719714,5563719714,Ö-VIKS Schakt & Frakt Aktiebolag,AB,,,,"{""addressLine"": ""Storgatan 4"", ""postPlace"": ""Örnsköldsvik"", ""postCode"": null, ""city"": ""Örnsköldsvik"", ""county"": null, ""country"": ""Sweden""}","[""Byggmästare"",""Transportförmedling"",""Åkerier"",""Entreprenörer""]","[""49410 Vägtransport, godstrafik"",""43120 Mark- och grundarbeten""]",1989,16,,2025-11-07T09:37:21.317676,2025-11-07T09:37:21.317677
5560184474,5560184474,Åtvidabergs Bostads Aktiebolag,AB,,,,"{""addressLine"": ""Stationshuset 1"", ""postPlace"": ""Åtvidaberg"", ""postCode"": null, ""city"": ""Åtvidaberg"", ""county"": null, ""country"": ""Sweden""}","[""Fastighetsbolag, lokaler""]","[""68201 Uthyrning och förvaltning av egna eller arrenderade bostäder"",""68203 Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"",""68202 Uthyrning och förvaltning av egna eller arrenderade industrilokaler""]",1920,10,,2025-11-07T09:37:21.317678,2025-11-07T09:37:21.317679
5569478091,5569478091,Åslunds El AB,AB,,,,"{""addressLine"": ""Hyvelgatan 37"", ""postPlace"": ""Knivsta"", ""postCode"": null, ""city"": ""Knivsta"", ""county"": null, ""country"": ""Sweden""}","[""Byggmästare"",""Elinstallationer""]","[""43210 Elinstallationer""]",2013,26,,2025-11-07T09:37:21.317700,2025-11-07T09:37:21.317701
5569577959,5569577959,Åsens Projekt AB,AB,,,,"{""addressLine"": ""Topasgatan 3"", ""postPlace"": ""Västra Frölunda"", ""postCode"": null, ""city"": ""Västra Frölunda"", ""county"": null, ""country"": ""Sweden""}","[""Byggmästare""]","[""43221 Värme- och sanitetsarbeten""]",2014,38,,2025-11-07T09:37:21.317702,2025-11-07T09:37:21.317703
5561234070,5561234070,Åsbo-Hus Aktiebolag,AB,,,,"{""addressLine"": ""Industrigatan 22"", ""postPlace"": ""Örkelljunga"", ""postCode"": null, ""city"": ""Örkelljunga"", ""county"": null, ""country"": ""Sweden""}","[""Byggmästare"",""Trävaror"",""Producenter"",""Trävaror - produktion""]","[""16231 Tillverkning av monteringsfärdiga trähus""]",1969,24,,2025-11-07T09:37:21.317704,2025-11-07T09:37:21.317704
5563290534,5563290534,Åry AB,AB,,,,"{""addressLine"": ""Titanvägen 3"", ""postPlace"": ""Nybro"", ""postCode"": null, ""city"": ""Nybro"", ""county"": null, ""country"": ""Sweden""}","[""Trävaror"",""Producenter"",""Trävaror - produktion""]","[""16292 Övrig trävarutillverkning""]",1988,26,,2025-11-07T09:37:21.317712,2025-11-07T09:37:21.317713
5568031537,5568031537,Årstavikens bygg AB,AB,,,,"{""addressLine"": ""Sofielundsvägen 4"", ""postPlace"": ""Enskededalen"", ""postCode"": null, ""city"": ""Enskededalen"", ""county"": null, ""country"": ""Sweden""}","[""Byggmästare""]","[""41200 Byggande av bostadshus och andra byggnader""]",2010,31,,2025-11-07T09:37:21.317716,2025-11-07T09:37:21.317716
5562481563,5562481563,Årsjö Recycling AB,AB,,,,"{""addressLine"": null, ""postPlace"": ""Linköping"", ""postCode"": null, ""city"": ""Linköping"", ""county"": null, ""country"": ""Sweden""}","[""Bilar"",""Avfallshantering""]","[""38320 Återvinning av källsorterat material"",""45204 Däckservice""]",1984,29,,2025-11-07T09:37:21.317717,2025-11-07T09:37:21.317718
5565262259,5565262259,Årjängs Bostads Aktiebolag,AB,,,,"{""addressLine"": ""Järnvägsgatan 1"", ""postPlace"": ""Årjäng"", ""postCode"": null, ""city"": ""Årjäng"", ""county"": null, ""country"": ""Sweden""}","[""Fastighetsbolag, lokaler""]","[""68201 Uthyrning och förvaltning av egna eller arrenderade bostäder"",""68203 Uthyrning och förvaltning av egna eller arrenderade, andra lokaler""]",1995,21,,2025-11-07T09:37:21.317719,2025-11-07T09:37:21.317720
5565711073,5565711073,Åregrens Industri- & Fastighetsservice AB,AB,,,,"{""addressLine"": ""Ödsmåls Industriväg 5"", ""postPlace"": ""Ödsmål"", ""postCode"": null, ""city"": ""Ödsmål"", ""county"": null, ""country"": ""Sweden""}","[""Byggmästare"",""Städservice""]","[""41200 Byggande av bostadshus och andra byggnader"",""81290 Annan rengöring""]",1999,35,,2025-11-07T09:37:21.317721,2025-11-07T09:37:21.317721
5568176100,5568176100,Åneviks Maskintjänst AB,AB,,,,"{""addressLine"": ""Industrivägen 3"", ""postPlace"": ""Köping"", ""postCode"": null, ""city"": ""Köping"", ""county"": null, ""country"": ""Sweden""}","[""Byggmästare"",""Entreprenörer""]","[""43120 Mark- och grundarbeten""]",2010,21,,2025-11-07T09:37:21.317724,2025-11-07T09:37:21.317725
5561206144,5561206144,Åkes Fjärr- & Lokaltransport Aktiebolag,AB,,,,"{""addressLine"": ""Lovartsgatan 3"", ""postPlace"": ""Karlstad"", ""postCode"": null, ""city"": ""Karlstad"", ""county"": null, ""country"": ""Sweden""}","[""Transportförmedling"",""Åkerier""]","[""49410 Vägtransport, godstrafik""]",1968,50,,2025-11-07T09:37:21.317726,2025-11-07T09:37:21.317726
5560866781,5560866781,Åkerigrus i Sundsvall Aktiebolag,AB,,,,"{""addressLine"": null, ""postPlace"": ""Sundsvall"", ""postCode"": null, ""city"": ""Sundsvall"", ""county"": null, ""country"": ""Sweden""}","[""Fastighetsbolag, lokaler"",""Sten"",""Brytning och gruvdrift""]","[""08120 Utvinning av sand, grus och berg; utvinning av lera och kaolin"",""68203 Uthyrning och förvaltning av egna eller arrenderade, andra lokaler""]",1963,6,,2025-11-07T09:37:21.317727,2025-11-07T09:37:21.317728
5561394932,5561394932,Åkeri Aktiebolaget Tage Palmqvist,AB,,,,"{""addressLine"": ""Källsbo 510"", ""postPlace"": ""Åtorp"", ""postCode"": null, ""city"": ""Åtorp"", ""county"": null, ""country"": ""Sweden""}","[""Byggmästare"",""Transportförmedling"",""Åkerier"",""Entreprenörer""]","[""49410 Vägtransport, godstrafik"",""43120 Mark- och grundarbeten""]",1970,21,,2025-11-07T09:37:21.317731,2025-11-07T09:37:21.317731
5561366716,5561366716,Åkeri Aktiebolaget Nils Olof Nilsson,AB,,,,"{""addressLine"": null, ""postPlace"": null, ""postCode"": null, ""city"": null, ""county"": ""Skåne Län"", ""country"": ""Sweden""}","[""Transportförmedling"",""Åkerier""]","[""49410 Vägtransport, godstrafik""]",1970,21,,2025-11-07T09:37:21.317733,2025-11-07T09:37:21.317733
5592959059,5592959059,Åkerholmens Lantbruk AB,AB,,,,"{""addressLine"": ""Öja Åkerholmen 2"", ""postPlace"": ""Vartofta"", ""postCode"": null, ""city"": ""Vartofta"", ""county"": null, ""country"": ""Sweden""}","[""Maskinförnödenheter"",""Jordbruk"",""Jordbruk - mjölkproduktion"",""Boskap"",""Maskinförnödenheter - reparationer"",""Mjölkproduktion"",""Reparatörer""]","[""01410 Mjölkproduktion och uppfödning av nötkreatur av mjölkras"",""33120 Reparation av maskiner""]",2021,8,,2025-11-07T09:37:21.317734,2025-11-07T09:37:21.317735
5564936754,5564936754,Åke Sjöström Aktiebolag,AB,,,,"{""addressLine"": ""Degerfälle 228"", ""postPlace"": ""ARNÄSVALL"", ""postCode"": null, ""city"": ""ARNÄSVALL"", ""county"": null, ""country"": ""Sweden""}","[""Byggmästare"",""Entreprenadmaskinsarbeten"",""Sågverk"",""Trävaror"",""Uthyrning""]","[""43991 Uthyrning av bygg- och anläggningsmaskiner med förare"",""16101 Sågning av trä""]",1994,26,,2025-11-07T09:37:21.317739,2025-11-07T09:37:21.317740
5561241414,5561241414,Åke Rådbo Aktiebolag,AB,,,,"{""addressLine"": ""Linhult"", ""postPlace"": ""Gullspång"", ""postCode"": null, ""city"": ""Gullspång"", ""county"": null, ""country"": ""Sweden""}","[""Transportförmedling"",""Åkerier""]","[""49410 Vägtransport, godstrafik""]",1969,3,,2025-11-07T09:37:21.317747,2025-11-07T09:37:21.317748
5568899719,5568899719,Åhs Säteri AB,AB,,,,"{""addressLine"": ""Ås Säteri"", ""postPlace"": ""Säffle"", ""postCode"": null, ""city"": ""Säffle"", ""county"": null, ""country"": ""Sweden""}","[""Grisuppfödning"",""Jordbruk"",""Jordbruk - boskap och djurhållning""]","[""01462 Uppfödning av slaktsvin""]",2012,10,,2025-11-07T09:37:21.317759,2025-11-07T09:37:21.317760
5561064543,5561064543,Åhmans i Åhus Aktiebolag,AB,,,,"{""addressLine"": ""Sandvaktaregatan 26"", ""postPlace"": ""Åhus"", ""postCode"": null, ""city"": ""Åhus"", ""county"": null, ""country"": ""Sweden""}","[""Maskinförnödenheter"",""Möbler"",""Maskinförnödenheter - tillverkning"",""Möbler - Produktion"",""Producenter""]","[""28220 Tillverkning av lyft- och godshanteringsanordningar"",""31090 Tillverkning av andra möbler""]",1966,34,,2025-11-07T09:37:21.317761,2025-11-07T09:37:21.317761
5565160495,5565160495,Ågesta Transport AB,AB,,,,"{""addressLine"": ""Västbergavägen 43 Bv"", ""postPlace"": ""Hägersten"", ""postCode"": null, ""city"": ""Hägersten"", ""county"": null, ""country"": ""Sweden""}","[""Transportförmedling"",""Åkerier""]","[""49410 Vägtransport, godstrafik""]",1995,61,,2025-11-07T09:37:21.317770,2025-11-07T09:37:21.317771
5562037720,5562037720,Ådalens Bildemontering Aktiebolag,AB,,,,"{""addressLine"": ""Karossvägen 1"", ""postPlace"": ""Kramfors"", ""postCode"": null, ""city"": ""Kramfors"", ""county"": null, ""country"": ""Sweden""}","[""Bilar"",""Bilreparationer"",""Transportförmedling"",""Åkerier"",""Avfallshantering""]","[""38311 Demontering av uttjänta fordon"",""49410 Vägtransport, godstrafik"",""45201 Allmän service och reparation av motorfordon utom motorcyklar""]",1979,31,,2025-11-07T09:37:21.317772,2025-11-07T09:37:21.317773
5566409230,5566409230,Åbykulle AB,AB,,,,"{""addressLine"": ""Valåker 2 0tr"", ""postPlace"": ""Hölö"", ""postCode"": null, ""city"": ""Hölö"", ""county"": null, ""country"": ""Sweden""}","[""Omvårdnad och omsorg""]","[""87201 Boende med särskild service för personer med utvecklingsstörning eller  psykiska funktionshinder""]",2003,80,,2025-11-07T09:37:21.317774,2025-11-07T09:37:21.317774
5560876913,5560876913,Åby Eltjänst Aktiebolag,AB,,,,"{""addressLine"": ""Arkösundsvägen 1"", ""postPlace"": ""Norrköping"", ""postCode"": null, ""city"": ""Norrköping"", ""county"": null, ""country"": ""Sweden""}","[""Byggmästare"",""Elinstallationer""]","[""43210 Elinstallationer""]",1963,32,,2025-11-07T09:37:21.317775,2025-11-07T09:37:21.317776
5565176012,5565176012,ÅWL Arkitekter Aktiebolag,AB,,,,"{""addressLine"": ""Nytorgsgatan 30"", ""postPlace"": ""Stockholm"", ""postCode"": null, ""city"": ""Stockholm"", ""county"": null, ""country"": ""Sweden""}","[""Arkitekter""]","[""71110 Arkitektverksamhet""]",1995,71,,2025-11-07T09:37:21.317777,2025-11-07T09:37:21.317778
5566272927,5566272927,ÅMV Production Aktiebolag,AB,,,,"{""addressLine"": ""Industrivägen 5"", ""postPlace"": ""ÅSELE"", ""postCode"": null, ""city"": ""ÅSELE"", ""county"": null, ""country"": ""Sweden""}","[""Mekaniska verkstäder"",""Metaller, legeringar"",""Metallurgisk industri""]","[""25620 Metallegoarbeten""]",2002,37,,2025-11-07T09:37:21.317782,2025-11-07T09:37:21.317783
5560793084,5560793084,ÅC Bygg AB,AB,,,,"{""addressLine"": ""Hyvelgatan 14"", ""postPlace"": ""Knivsta"", ""postCode"": null, ""city"": ""Knivsta"", ""county"": null, ""country"": ""Sweden""}","[""Byggmästare""]","[""41200 Byggande av bostadshus och andra byggnader"",""43999 Diverse övrig specialiserad bygg- och anläggningsverksamhet"",""43310 Puts-, fasad- och stuckatörsarbeten""]",1961,21,,2025-11-07T09:37:21.317785,2025-11-07T09:37:21.317786
5563644672,5563644672,Å.K.-Budet i Markaryd Aktiebolag,AB,,,,"{""addressLine"": ""Ulvarydsvägen 8"", ""postPlace"": ""Markaryd"", ""postCode"": null, ""city"": ""Markaryd"", ""county"": null, ""country"": ""Sweden""}","[""Transportförmedling"",""Åkerier""]","[""49410 Vägtransport, godstrafik""]",1989,36,,2025-11-07T09:37:21.317787,2025-11-07T09:37:21.317788
5567443246,5567443246,Ärlebo Bil AB,AB,,,,"{""addressLine"": ""Göteborgsvägen 25"", ""postPlace"": ""Varberg"", ""postCode"": null, ""city"": ""Varberg"", ""county"": null, ""country"": ""Sweden""}","[""Bilar"",""Bilreparationer""]","[""45110 Handel med personbilar och lätta motorfordon"",""45201 Allmän service och reparation av motorfordon utom motorcyklar""]",2007,17,,2025-11-07T09:37:21.317789,2025-11-07T09:37:21.317789
5568977796,5568977796,Änglagården Fastighetsutveckling AB,AB,,,,"{""addressLine"": ""Bultgatan 5"", ""postPlace"": ""Alingsås"", ""postCode"": null, ""city"": ""Alingsås"", ""county"": null, ""country"": ""Sweden""}","[""Fastighetsbolag, lokaler""]","[""68203 Uthyrning och förvaltning av egna eller arrenderade, andra lokaler""]",2012,,,2025-11-07T09:37:21.317790,2025-11-07T09:37:21.317791
5565279931,5565279931,Ängdala Skolor AB,AB,,,,"{""addressLine"": ""Ängdalavägen 139-20"", ""postPlace"": ""Höllviken"", ""postCode"": null, ""city"": ""Höllviken"", ""county"": null, ""country"": ""Sweden""}","[""Förskolor"",""Omvårdnad och omsorg"",""Skolor och utbildning"",""Dagbarnvård""]","[""85201 Grundskoleutbildning och förskoleklass"",""88910 Dagbarnvård"",""85100 Förskoleutbildning""]",1996,85,,2025-11-07T09:37:21.317794,2025-11-07T09:37:21.317794
5565295002,5565295002,Älvsbyns Fastigheter AB,AB,,,,"{""addressLine"": ""Betonggatan 6"", ""postPlace"": ""Älvsbyn"", ""postCode"": null, ""city"": ""Älvsbyn"", ""county"": null, ""country"": ""Sweden""}","[""Fastighetsbolag, lokaler""]","[""68201 Uthyrning och förvaltning av egna eller arrenderade bostäder""]",1996,25,,2025-11-07T09:37:21.317798,2025-11-07T09:37:21.317798
